locality,2022-total,2017-total,pop_difference,locality_name_for_merge
新北巿 New Taipei City,102389,97423,4966,New Taipei City
臺北市 Taipei City,69745,67059,2686,Taipei
桃園巿 Taoyuan City,120336,110018,10318,Taoyuan
臺中市 Taichung City,102661,95220,7441,Taichung
臺南市 Tainan City,61010,58082,2928,Tainan
高雄市 Kaohsiung City,67915,61187,6728,Kaohsiung
宜蘭縣 Yilan County,10887,12222,-1335,Yilan
新竹縣 Hsinchu County,33267,28473,4794,Hsinchu County
苗栗縣 Miaoli County,20946,20379,567,Miaoli
彰化縣 Changhua County,51281,48664,2617,Changhua
南投縣 Nantou County,12707,11850,857,Nantou
雲林縣 Yunlin County,18317,17386,931,Yulin
嘉義縣 Chiayi County,13380,11720,1660,Chiayi County
屏東縣 Pingtung County,14731,14416,315,Pingtung
臺東縣 Taitung County,2157,2710,-553,Taitung
花蓮縣 Hualien County,6282,6859,-577,Hualien
澎湖縣 Penghu County,2026,2608,-582,Penghu
基隆市 Keelung City,6331,5932,399,Keelung
新竹市 Hsinchu City,17632,16012,1620,Hsinchu City
嘉義市 Chiayi City,3373,3517,-144,Chiayi City
金門縣 Kinmen County,1082,1046,36,Kinmen
連江縣 Lienchiang County,222,210,12,Lienkiang (Matsu Islands)